id,title,wage,vessel_type,vessel_name,start_date,contract_duration,trading_region,info_text
473050,ETO,Salary Negotiable,AHTS,,14/12/2024,2 months,Malta,"
Information about vacancy ETO (for AHTS):
experience on dp2 +380982436795- whats app/ viber
"
454289,Chief Officer,$ 12 500 per month,Chemical tanker,,20/11/2024,4 months,Marshall Islands,"
Information about vacancy Chief Officer (for Chemical tanker):
Stainless Steel tanksCargoes experience on CSBO- PFAD – Various Grades of crude refine Plam Oils – POMEAt least 1 year in the rank
"
473953,4th Engineer,$ 3 200 per month,Bulk Carrier,,14/04/2025,6 months,Greece,
469148,Gas Engineer,$ 7 000 per month,LPG / LNG,,20/11/2024,6 months,United Arab Emirates,"
Information about vacancy Gas Engineer (for LPG / LNG):
START ASAP
"
466747,Electrical Technician,$ 3 200 - $ 3 500 per month,Power Station Vessel,Black Sea,25/11/2024,4 months,Liberia,"
Information about vacancy Electrical Technician (for Power Station Vessel):
  Electrical O&M TechnicianПОСАДКА В УКРАИНЕ• Duration - 4(+-1) months• Type of vessel - Power Station 3310 dwt• Location – port of Ukraine• Верификация на руках• Обновленные данные в РЕЗЕРВ+ - ВЫДАЕТСЯ БРОНЬ НА ПЕРИОД РАБОТЫ• Тема письма для Application Form - ""Power Station Vessel"" !!Наши контакты:Apply via Maritime ZoneOffice - +380 (48) 737 55 33 WhatsApp / Viber / Telegram - +380 (63) 73 755 33
"
473816,Chief Officer,$ 7 000 per month,Container Ship,,10/12/2024,5 months,Marshall Islands,"
Information about vacancy Chief Officer (for Container Ship):
We are searching now candidates for container vessel 'Elisabeth P.' (ex-name 'Ariana A'), trading area Mediterranean, 2700 TEU capacity, two-stroke Main Engine.Good English is mandatory.
"
472704,2nd Engineer,$ 6 500 per month,Container Ship,,25/11/2024,4 months,,"
Information about vacancy 2nd Engineer (for Container Ship):
Promotion Prospects;Salary in time;Re-joining Bonus;Reputable Container Owners;Fast Placement
"
468759,2nd Engineer,$ 7 500 - $ 9 000 per month,Container Ship,,30/11/2024,5 months,,"
Information about vacancy 2nd Engineer (for Container Ship):
2 EngContainer Vessels 10 000 – 25000 TEUsSalary: 7500-9000 USDGood EnglishExperience in rankApply via Maritime Zone
"
471082,Chief Officer,Salary Negotiable,Oil Products Tanker,,01/12/2024,4 months,,"
Information about vacancy Chief Officer (for Oil Products Tanker):
Rank: CHIEF OFFICERContract: 4 monthsEmbarkation: Apply via Maritime ZoneType: CHEM OIL PR TANK (STEAM TURBINES)Dwt: 73711Year: 2008FlagName: MARSHALL ISLANDS
"
473545,3rd Officer,$ 2 900 per month,Container Ship,,04/12/2024,6 months,,"
Information about vacancy 3rd Officer (for Container Ship):
USA visa+37068998730Apply via Maritime Zone
"
